User Cups Donations Crowns Rating Comment
Aleh 4870 840 30 9.623 GoodJob
N_I_belik 4750 840 30 9.583 GoodJob
eduardox 4576 840 30 9.525 GoodJob
AngelMete 4341 840 30 9.447 GoodJob
yampi 4330 840 30 9.443 GoodJob
xchuko 4205 840 30 9.402 GoodJob
alejandrico 4113 840 30 9.371 GoodJob
juanjolop 4056 840 30 9.352 GoodJob
Morotee 4033 840 30 9.344 GoodJob
Jovelpo 3945 840 30 9.315 GoodJob
DAVYQ 3831 840 30 9.277 GoodJob
wilson 3400 840 30 9.133 GoodJob
mijojiko44 4000 840 27 8.933 GoodJob
zasenlaface 4150 745 30 8.931 GoodJob
paco95 3895 713 30 8.694 GoodJob
Sapien 4002 700 30 8.667 GoodJob
Rastalobre6 4164 599 30 8.24 GoodJob
paquillo95 4009 679 27 8.17 GoodJob
Alexgonik 4000 576 30 8.076 GoodJob
LordRodrogo 4020 726 23 7.864 GoodJob
adrian 3896 840 19 7.832 GoodJob
DyeRix 4621 597 23 7.45 GoodJob
farlopery 4415 840 14 7.338 GoodJob
pdrblanco 4196 454 28 7.294 GoodJob
xPepe 4445 633 20 7.163 GoodJob
DeRoda 4713 581 21 7.138 GoodJob
fulmete 4705 642 18 7.025 GoodJob
BUITROR 3791 495 23 6.687 GoodJob
Jorgec10 3851 402 26 6.665 GoodJob
amge97 3730 407 26 6.648 GoodJob
Maipydy 3547 298 28 6.335 GoodJob
Javier 4028 194 30 6.266 GoodJob
SrJose 4269 420 21 6.223 GoodJob
elcabrikah 3967 575 16 6.194 GoodJob
bomber 3344 222 30 6.172 GoodJob
Salinas2k 2971 205 28 5.7 GoodJob
Susana 3972 307 20 5.453 GoodJob
MrSorck 3586 336 18 5.195 GoodJob
david59 3828 230 21 5.171 GoodJob
dridi 3953 467 11 5.008 GoodJob
Polodementa 4026 256 16 4.694 Suspense
manoloz 4033 80 22 4.659 Suspense
Retourned 4177 222 15 4.449 Suspense
mariamen 4037 215 14 4.236 Suspense
Montoya 4239 506 3 4.223 Suspense
AngelRepubli 3635 170 10 3.355 Suspense
luj4n 3498 418 1 3.29 Suspense
TOMINABO 4000 0 14 3.2 Suspense
⚡️Macunican⚡️ 4146 150 3 2.496 Suspense


Approved 40
Suspended 9
Expulsions 0 :
